Data,Time
297.0,10606.0
307.0,10617.0
294.0,10628.0
309.0,10638.0
293.0,10649.0
310.0,10659.0
292.0,10670.0
311.0,10681.0
312.0,10781.0
313.0,10882.0
313.0,10982.0
313.0,11082.0
313.0,11183.0
313.0,11284.0
314.0,11384.0
313.0,11485.0
313.0,11585.0
312.0,11685.0
311.0,11787.0
310.0,11887.0
309.0,11987.0
309.0,12088.0
309.0,12188.0
309.0,12289.0
309.0,12390.0
309.0,12490.0
309.0,12591.0
310.0,12691.0
311.0,12791.0
312.0,12893.0
313.0,12993.0
315.0,13093.0
316.0,13194.0
318.0,13294.0
320.0,13394.0
321.0,13496.0
323.0,13596.0
325.0,13697.0
326.0,13797.0
328.0,13897.0
329.0,13999.0
330.0,14099.0
331.0,14199.0
332.0,14300.0
332.0,14400.0
333.0,14500.0
333.0,14602.0
333.0,14702.0
332.0,14802.0
332.0,14903.0
331.0,15003.0
330.0,15105.0
329.0,15205.0
328.0,15305.0
327.0,15406.0
325.0,15506.0
323.0,15607.0
322.0,15708.0
320.0,15808.0
319.0,15908.0
318.0,16009.0
317.0,16109.0
317.0,16210.0
316.0,16311.0
316.0,16411.0
316.0,16512.0
316.0,16612.0
317.0,16713.0
318.0,16814.0
319.0,16914.0
320.0,17014.0
321.0,17115.0
322.0,17215.0
324.0,17316.0
326.0,17417.0
327.0,17517.0
329.0,17617.0
330.0,17718.0
332.0,17819.0
333.0,17920.0
334.0,18020.0
334.0,18120.0
335.0,18221.0
335.0,18321.0
335.0,18422.0
335.0,18523.0
335.0,18623.0
335.0,18723.0
334.0,18824.0
333.0,18925.0
332.0,19025.0
330.0,19126.0
329.0,19226.0
327.0,19326.0
326.0,19427.0
324.0,19528.0
323.0,19629.0
321.0,19729.0
320.0,19829.0
319.0,19930.0
318.0,20031.0
318.0,20131.0
317.0,20232.0
317.0,20332.0
317.0,20432.0
317.0,20534.0
331.0,20539.0
333.0,20544.0
318.0,20550.0
321.0,20555.0
333.0,20561.0
327.0,20567.0
315.0,20572.0
326.0,20578.0
333.0,20583.0
320.0,20589.0
317.0,20594.0
331.0,20599.0
329.0,20605.0
315.0,20611.0
321.0,20617.0
332.0,20622.0
322.0,20628.0
314.0,20633.0
327.0,20638.0
330.0,20644.0
316.0,20649.0
317.0,20656.0
330.0,20661.0
325.0,20666.0
312.0,20672.0
322.0,20677.0
330.0,20683.0
318.0,20688.0
313.0,20694.0
327.0,20700.0
327.0,20705.0
312.0,20711.0
318.0,20716.0
329.0,20721.0
321.0,20727.0
310.0,20732.0
323.0,20739.0
328.0,20744.0
313.0,20750.0
314.0,20755.0
327.0,20760.0
323.0,20766.0
310.0,20771.0
319.0,20777.0
328.0,20783.0
316.0,20788.0
310.0,20794.0
324.0,20799.0
325.0,20805.0
310.0,20810.0
314.0,20815.0
326.0,20822.0
319.0,20827.0
308.0,20833.0
320.0,20838.0
326.0,20843.0
312.0,20849.0
310.0,20854.0
324.0,20860.0
321.0,20866.0
307.0,20872.0
315.0,20877.0
325.0,20882.0
314.0,20888.0
307.0,20893.0
320.0,20899.0
323.0,20904.0
308.0,20910.0
311.0,20916.0
323.0,20921.0
317.0,20927.0
305.0,20932.0
316.0,20937.0
323.0,20943.0
310.0,20948.0
307.0,20955.0
321.0,20960.0
319.0,20965.0
305.0,20971.0
312.0,20976.0
323.0,20982.0
313.0,20987.0
304.0,20994.0
317.0,20999.0
321.0,21004.0
306.0,21010.0
307.0,21015.0
320.0,21021.0
316.0,21026.0
303.0,21031.0
313.0,21038.0
321.0,21043.0
308.0,21049.0
304.0,21054.0
318.0,21059.0
318.0,21065.0
303.0,21070.0
309.0,21076.0
320.0,21082.0
312.0,21088.0
301.0,21093.0
314.0,21098.0
319.0,21104.0
304.0,21109.0
305.0,21115.0
318.0,21121.0
314.0,21126.0
300.0,21132.0
310.0,21137.0
319.0,21143.0
307.0,21148.0
301.0,21153.0
315.0,21159.0
316.0,21165.0
301.0,21171.0
305.0,21176.0
317.0,21181.0
310.0,21187.0
299.0,21192.0
311.0,21198.0
317.0,21203.0
303.0,21210.0
302.0,21215.0
315.0,21220.0
313.0,21226.0
299.0,21231.0
307.0,21237.0
317.0,21242.0
306.0,21248.0
298.0,21254.0
312.0,21259.0
314.0,21265.0
299.0,21270.0
302.0,21275.0
315.0,21281.0
309.0,21286.0
296.0,21293.0
308.0,21298.0
315.0,21303.0
301.0,21309.0
299.0,21314.0
312.0,21320.0
311.0,21325.0
297.0,21331.0
303.0,21337.0
314.0,21342.0
304.0,21348.0
295.0,21353.0
309.0,21359.0
312.0,21364.0
297.0,21369.0
299.0,21376.0
312.0,21381.0
307.0,21387.0
294.0,21392.0
304.0,21397.0
313.0,21403.0
300.0,21408.0
295.0,21414.0
309.0,21420.0
309.0,21425.0
295.0,21431.0
300.0,21436.0
312.0,21442.0
303.0,21447.0
293.0,21453.0
306.0,21458.0
311.0,21464.0
296.0,21470.0
297.0,21475.0
310.0,21481.0
306.0,21486.0
293.0,21491.0
302.0,21497.0
311.0,21502.0
300.0,21509.0
294.0,21514.0
308.0,21519.0
309.0,21525.0
294.0,21530.0
298.0,21536.0
310.0,21541.0
303.0,21547.0
292.0,21553.0
304.0,21558.0
310.0,21564.0
296.0,21569.0
295.0,21575.0
309.0,21580.0
306.0,21585.0
292.0,21592.0
300.0,21597.0
310.0,21603.0
299.0,21608.0
292.0,21613.0
306.0,21619.0
308.0,21624.0
293.0,21630.0
296.0,21636.0
309.0,21641.0
303.0,21647.0
291.0,21652.0
302.0,21658.0
309.0,21663.0
296.0,21668.0
293.0,21675.0
307.0,21680.0
306.0,21686.0
291.0,21691.0
298.0,21697.0
309.0,21702.0
299.0,21707.0
290.0,21713.0
304.0,21719.0
307.0,21725.0
292.0,21730.0
294.0,21735.0
307.0,21741.0
302.0,21746.0
289.0,21752.0
300.0,21757.0
308.0,21763.0
295.0,21769.0
291.0,21774.0
305.0,21780.0
305.0,21785.0
290.0,21791.0
299.0,21808.0
289.0,21813.0
302.0,21819.0
307.0,21824.0
292.0,21829.0
293.0,21835.0
306.0,21840.0
302.0,21847.0
289.0,21852.0
298.0,21857.0
307.0,21863.0
295.0,21868.0
289.0,21874.0
303.0,21879.0
304.0,21884.0
290.0,21891.0
294.0,21896.0
306.0,21902.0
299.0,21907.0
288.0,21913.0
300.0,21918.0
306.0,21923.0
291.0,21929.0
291.0,21935.0
304.0,21941.0
302.0,21946.0
288.0,21951.0
296.0,21957.0
306.0,21962.0
295.0,21968.0
288.0,21974.0
302.0,21979.0
304.0,21985.0
289.0,21990.0
292.0,21996.0
304.0,22001.0
299.0,22006.0
287.0,22012.0
298.0,22018.0
305.0,22024.0
291.0,22029.0
289.0,22035.0
303.0,22040.0
302.0,22045.0
287.0,22051.0
294.0,22056.0
305.0,22063.0
295.0,22068.0
287.0,22073.0
300.0,22079.0
303.0,22084.0
289.0,22090.0
291.0,22095.0
304.0,22100.0
298.0,22107.0
286.0,22112.0
296.0,22118.0
304.0,22123.0
291.0,22128.0
287.0,22134.0
301.0,22139.0
301.0,22146.0
287.0,22151.0
292.0,22157.0
304.0,22162.0
295.0,22167.0
285.0,22173.0
298.0,22178.0
303.0,22184.0
288.0,22190.0
289.0,22195.0
302.0,22201.0
298.0,22206.0
285.0,22212.0
294.0,22217.0
303.0,22222.0
291.0,22228.0
286.0,22234.0
300.0,22240.0
301.0,22245.0
286.0,22250.0
290.0,22256.0
303.0,22261.0
295.0,22267.0
284.0,22273.0
296.0,22279.0
302.0,22284.0
288.0,22289.0
287.0,22295.0
301.0,22300.0
298.0,22306.0
284.0,22311.0
292.0,22317.0
302.0,22323.0
291.0,22328.0
284.0,22334.0
298.0,22339.0
300.0,22344.0
285.0,22350.0
288.0,22355.0
301.0,22362.0
295.0,22367.0
283.0,22373.0
294.0,22378.0
301.0,22383.0
288.0,22389.0
285.0,22394.0
299.0,22401.0
298.0,22406.0
284.0,22411.0
290.0,22417.0
301.0,22422.0
291.0,22428.0
283.0,22433.0
296.0,22438.0
299.0,22445.0
285.0,22450.0
287.0,22456.0
300.0,22461.0
295.0,22466.0
282.0,22472.0
292.0,22477.0
301.0,22483.0
288.0,22489.0
284.0,22495.0
298.0,22500.0
297.0,22505.0
283.0,22511.0
289.0,22516.0
300.0,22522.0
292.0,22528.0
282.0,22533.0
295.0,22539.0
299.0,22544.0
285.0,22550.0
285.0,22555.0
299.0,22560.0
295.0,22566.0
282.0,22572.0
291.0,22578.0
300.0,22583.0
288.0,22588.0
282.0,22594.0
296.0,22599.0
297.0,22605.0
283.0,22610.0
287.0,22617.0
299.0,22622.0
292.0,22627.0
281.0,22633.0
293.0,22638.0
299.0,22644.0
285.0,22649.0
284.0,22654.0
297.0,22661.0
295.0,22666.0
281.0,22672.0
289.0,22677.0
299.0,22682.0
288.0,22688.0
281.0,22693.0
295.0,22700.0
297.0,22705.0
282.0,22710.0
285.0,22716.0
298.0,22721.0
292.0,22727.0
280.0,22732.0
291.0,22738.0
298.0,22744.0
285.0,22749.0
282.0,22755.0
296.0,22760.0
295.0,22766.0
281.0,22771.0
287.0,22776.0
298.0,22782.0
288.0,22788.0
280.0,22794.0
293.0,22799.0
296.0,22804.0
282.0,22810.0
284.0,22815.0
297.0,22821.0
292.0,22827.0
279.0,22832.0
289.0,22838.0
298.0,22843.0
285.0,22849.0
281.0,22854.0
295.0,22860.0
295.0,22865.0
280.0,22871.0
286.0,22877.0
297.0,22882.0
289.0,22888.0
279.0,22893.0
292.0,22898.0
296.0,22904.0
282.0,22909.0
283.0,22916.0
295.0,22921.0
292.0,22926.0
279.0,22932.0
288.0,22937.0
297.0,22943.0
285.0,22948.0
280.0,22953.0
294.0,22960.0
295.0,22965.0
280.0,22971.0
284.0,22976.0
296.0,22982.0
289.0,22987.0
278.0,22992.0
290.0,22999.0
296.0,23004.0
282.0,23010.0
281.0,23015.0
295.0,23020.0
292.0,23026.0
278.0,23031.0
286.0,23037.0
296.0,23043.0
285.0,23048.0
278.0,23054.0
292.0,23059.0
294.0,23065.0
279.0,23070.0
282.0,23076.0
295.0,23081.0
289.0,23087.0
277.0,23093.0
288.0,23098.0
295.0,23104.0
282.0,23109.0
279.0,23114.0
293.0,23120.0
292.0,23126.0
278.0,23132.0
285.0,23137.0
295.0,23142.0
286.0,23148.0
277.0,23153.0
290.0,23159.0
294.0,23164.0
279.0,23170.0
281.0,23176.0
294.0,23181.0
289.0,23187.0
276.0,23192.0
287.0,23198.0
295.0,23203.0
282.0,23208.0
278.0,23215.0
292.0,23220.0
292.0,23226.0
277.0,23231.0
283.0,23236.0
295.0,23242.0
286.0,23247.0
276.0,23254.0
289.0,23259.0
294.0,23264.0
279.0,23270.0
280.0,23275.0
293.0,23281.0
290.0,23286.0
276.0,23291.0
286.0,23298.0
295.0,23303.0
283.0,23309.0
277.0,23314.0
291.0,23320.0
292.0,23325.0
277.0,23330.0
282.0,23336.0
294.0,23342.0
287.0,23348.0
276.0,23353.0
288.0,23358.0
294.0,23364.0
280.0,23369.0
279.0,23375.0
292.0,23380.0
290.0,23386.0
276.0,23392.0
284.0,23397.0
294.0,23403.0
283.0,23408.0
276.0,23413.0
290.0,23419.0
